000000|2
000221|1
001021|1
001212|2
002102|1
002110|1
002121|1
010012|1
010102|1
010222|1
011011|1
011120|2
012010|1
012201|2
020111|2
020220|1
021001|1
021102|1
021200|1
022022|2
022210|1
100122|2
100201|1
101020|1
101110|1
101200|1
102011|2
102202|1
110101|1
110210|2
111002|2
111111|1
112020|1
112121|1
112222|1
120001|1
120012|1
120020|1
121112|1
121221|2
122100|2
122212|1
200012|1
200110|1
200211|1
201022|1
201101|2
202002|1
202220|2
210021|2
210100|1
211200|1
211211|1
211222|1
212000|1
212112|2
220120|1
220202|2
221010|2
221122|1
222001|1
222121|1
222211|1
