000000|1
001321|1
002233|1
003112|1
010332|1
011013|1
012101|1
013220|1
020211|1
021130|1
022022|1
023303|1
030123|1
031202|1
032310|1
033031|1
100131|1
101210|1
102302|1
103023|1
110203|1
111122|1
112030|1
113311|1
120320|1
121001|1
122113|1
123232|1
130012|1
131333|1
132221|1
133100|1
200313|1
201032|1
202120|1
203201|1
210021|1
211300|1
212212|1
213133|1
220102|1
221223|1
222331|1
223010|1
230230|1
231111|1
232003|1
233322|1
300222|1
301103|1
302011|1
303330|1
310110|1
311231|1
312323|1
313002|1
320033|1
321312|1
322200|1
323121|1
330301|1
331020|1
332132|1
333213|1
