"00000000",8
"00010111",1
"00011011",1
"00011222",1
"00012122",1
"00012221",2
"00021112",2
"00022202",1
"00022220",1
"00101101",2
"00101212",1
"00102212",2
"00110011",2
"00110101",1
"00111001",1
"00111010",1
"00111222",1
"00112221",1
"00120112",1
"00120121",1
"00120211",1
"00121120",1
"00121220",1
"00122120",1
"00201112",1
"00201211",1
"00202111",2
"00202121",1
"00211022",1
"00211122",1
"00211212",1
"00211220",1
"00212110",1
"00220121",1
"00220202",2
"00222002",2
"00222020",2
"00222200",1
"01001222",1
"01002122",1
"01002221",2
"01010011",1
"01010101",1
"01011001",3
"01011100",1
"01012102",1
"01020112",1
"01020221",1
"01021012",1
"01021120",1
"01021210",1
"01022011",1
"01022110",1
"01100110",2
"01100212",1
"01101001",1
"01101010",1
"01101100",1
"01102012",1
"01111000",1
"01112022",2
"01112202",2
"01120102",2
"01120220",1
"01121022",1
"01122021",1
"01122201",1
"01200121",2
"01200212",1
"01201201",1
"01201220",2
"01202110",1
"01210122",1
"01210210",1
"01210221",1
"01212010",1
"01212012",1
"01212100",1
"01220021",1
"01220210",1
"01221012",1
"01221201",1
"01222100",1
"02001112",1
"02001121",1
"02001122",1
"02001211",1
"02002111",1
"02002202",1
"02010122",1
"02011210",1
"02011220",1
"02012210",2
"02020022",2
"02020202",2
"02022020",1
"02022111",2
"02100212",1
"02100221",1
"02101022",1
"02101120",1
"02102021",1
"02102201",1
"02110012",1
"02110120",2
"02112010",1
"02112100",1
"02112102",1
"02120210",1
"02121020",1
"02121200",1
"02121201",1
"02122011",1
"02122101",1
"02200022",2
"02202002",2
"02202020",1
"02202200",1
"02210021",1
"02210110",1
"02210201",2
"02210210",1
"02211102",2
"02221011",3
"02221100",1
"02221101",1
